chunk_url;chunk_number;chunk_id;chunk_name;chunk_content
https://www.ing.be/en/individuals/daily-banking/statement-of-fees;1;0;0.5946624566772998141.txt;"# Statement of fees - ING Belgium - Statement of Fees

## Overview of all the costs and interests on your current account

A Statement of Fees is a total overview of all costs you paid to ING over the course of the year for the provision and use of your current account in euros or in foreign currency. The Statement of Fees also includes the total amount of interest you received from ING or paid to ING on the balance in your account. You will receive a Statement of Fees every year.
Visit frequently asked questions

## Who, why, when and how

* ### Who?
All natural persons who have a current account with ING for personal use in euros or in foreign currency will receive a Statement of Fees (one per currency). In other words, this includes all customers with an ING Green Account, an ING Lion Account, an ordinary ING current account, an ING Go to 18 account, an ING basic bank service account or an ING foreign currency current account.
* ### Why?
Your Statement of Fees is issued on the basis of the European directive for current accounts (Payment Accounts Directive – PAD). In Belgium, this directive has been converted into a Royal Decree and included in the Belgian Economic Code. One of the aims of the directive is to provide more clarity on the costs banks charge for using personal current accounts, both in euros and in foreign currency.
* ### When?
From 2021 (for the costs and interest incurred in 2020), you will receive a Statement of Fees every year. When you close your account, you will still receive a Statement of Fees for the year to date.
* ### How?
The way you receive your Statement of Fees depends on your communications preferences for account statements: it will either be sent electronically or in the post.

## For information only

Your Statement of Fees is intended for information purposes only. As such, there is nothing you need to do. As it gives you an at-a-glance overview of all costs charged over the past year, it does serve as a handy way to gain more insight."
https://www.ing.be/en/individuals/daily-banking/statement-of-fees;2;1;1.5946624566772998141.txt;"# Statement of fees - ING Belgium - Statement of Fees

## If I still have questions?

Visit the frequently asked questions page

### Which current account for me?

Compare and choose Which current account for me?

### Want to manage your accounts online?

Nothing could be simpler with our online banking service!
Want to manage your accounts online?

### Which current account for me?

Compare and choose Which current account for me?

### Want to manage your accounts online?

Nothing could be simpler with our online banking service!
Want to manage your accounts online? More services and how to contact us"
https://www.ing.be/en/individuals/saving/youth-savings-account;1;2;2.2339994796096330243.txt;"# The youth savings account - ING Belgium - The saving account for your child

## ING Savings Account: a regulated savings account with no monthly deposit limit and an unlimited term

Want to save for your child's future? Then this savings account is for you.
* Free
* Parental control
* No minimum or maximum amount

## Interest rates

START TABLE IN MARKDOWN
| | |
| - | - |
| Base rate | Fidelity premium |
| 0,10% | 1,15% |
END TABLE IN MARKDOWN
The **fidelity premium** is only earned on amounts that have remained uninterruptedly in the regulated savings account for 12 months following the day of the payment. The rate of the fidelity premium in force at the time of payment or the start of a new period remains unaltered for a period of 12 months. Fidelity premiums that have already been earned are paid into your account on the first day following the quarter in which they were earned or when you close your account.
The **base rate interest** starts to accrue on the day after the money is paid into the account and continues up to the day it is withdrawn. It is paid into your account on a yearly basis, on the 1st of January, or when you close your account.
Interest rates are gross and expressed on an annual basis and may be adjusted at any time. You can find the current rate online and at any ING branch. If the rate changes, we inform account holders on their account statements.

## Risks

The ING Savings Account is a regulated savings account of ING Bank Belgium LC. Belgian law alone applies.
**Risk of bankruptcy:** In the event of bankruptcy or the risk of bankruptcy of the financial institution, the saver bears the risk of not recovering his or her savings or may be obliged to reduce/convert the amount of his or her claims against the financial institution in excess of 100,000 euros - an amount covered by the deposit protection mechanism - into capital shares (Bail-in). You can find out more about this protection system on the following website
Guarantee Fund for financial institutions (belgium.be)
**Inflation risk:** persistent rises in prices could cause the money deposited to fall in value."
https://www.ing.be/en/individuals/saving/youth-savings-account;2;3;3.2339994796096330243.txt;"# The youth savings account - ING Belgium - The saving account for your child

## Saving for your child

START TABLE IN MARKDOWN
| | |
| - | - |
| Easy to open | Fancy saving for your child? Get started right away. Open your savings account online through your favourite digital channel. Your child will dispose of the amount in this savings account on his/her 18th birthday. |
| Parental control | Want to keep an eye on them? You can simply do so via your computer or smartphone, until your child turns 18. |
| No extra fees | Opening/closing/annual statement is for free. The cost of sending the account statements of the ING Savings Account and the ING Green Savings Account by post is €5/year + postal charges. See below the charges applied to the main banking services. |
| Save at your own pace | Choose how much and how often you save. |
END TABLE IN MARKDOWN
Charges applied to the main banking services and transactions for private use

## Information on the ING Savings Account

Category A This is a classic regulated savings account. There is no condition attached to the base rate or the fidelity premium.
More information about the categories Taxation As long as the interest does not exceed 1,050 €, your child will not pay withholding tax. However, are the interests higher than 1,050 euro? Then your child will pay a withholding tax of 15% (tax paid in 2026 on income earned in 2025).
This tax regime applies to individuals residing in Belgium. Different tax treatment may apply to others.
Important documents Please read the following documents before you open a savings account:
* Terms and Conditions of ING Savings Account (PDF)
* Key Information for Savers for the ING Savings Account (PDF)
* General Information regarding Accounts and Cards (PDF)
* Charges applied to the main banking services and transactions for private use (PDF)
* Deposits protection information sheet (PDF)
Complaints Our Complaints Department and Ombudsman are there to help you.
How do I submit a complaint?"
https://www.ing.be/en/individuals/saving/youth-savings-account;3;4;4.2339994796096330243.txt;"# The youth savings account - ING Belgium - The saving account for your child

## How do I open a savings account online?

1. 1

#### Sign in

Using itsme®, your ING Banking app or your ING Card Reader
2. 2

#### Request your account

Fill in your child's details
3. 3

#### Confirm your request

And consult your account directly in the ING Banking App
Open this savings account"
https://www.ing.be/en/individuals/saving/youth-savings-account;4;5;5.2339994796096330243.txt;"# The youth savings account - ING Belgium - The saving account for your child

## Frequently asked questions

### What is a savings account?

A savings account is a deposit account which allows you to store your money safely and earn interest. You can withdraw the funds whenever you need them.

### When will my child receive interest on his/her savings account?

The **base rate interest** starts to accrue on the day after the money is paid into the account and continues up to the day it is withdrawn. It is paid into your account on a yearly basis, on the 1st of January, or when you close your account.
The **fidelity premium** is only earned on amounts that have remained uninterruptedly in the regulated savings account for 12 months from the day following the deposit. The premium is paid into the account on the first day after each quarter (January, April, July, October)

### How and why do I save for my child?

Want some more tips and tricks on exactly how to get started? We would be happy to help you. Feel free to read a bit more about why and how to save for your child .

### How many people can be linked to the Youth savings account?

Only the legal representatives of the minor can be intermediaries in the Youth savings account.

### How do I open a savings account for young people/babies via the ING Banking app ?

1. Tap ‘Saving and term accounts’ on the ‘Products’ tab.
2. Select the option ‘The savings account for minors’
3. Tap ‘Open this account’ at the bottom of the page.

### Can my child withdraw money without my permission ?

Not by default. When you open the savings account for your child, you can activate this option (Sterkmaking / Porte-Fort) so that a child older than 10 can indeed take money out of the account.

### Do I need an ING current account to open an ING Savings Account for my child ?

If you are not yet an ING customer, you must open the savings account for your child in one of our branches. If you already have an ING account (Current Account, Savings Account or Investment Account), you can open the account either digitally or in the branch."
https://www.ing.be/en/individuals/saving/youth-savings-account;5;6;6.2339994796096330243.txt;"# The youth savings account - ING Belgium - The saving account for your child

## Services & Contact

### Carry your bank in your pocket!

Download our app for smartphone or tablet Carry your bank in your pocket!

### Find a branch

Find a branch

### Didn't find what you were looking for?

Ask Ida, ING's digital assistant, via Chat in your ING Banking app, in the ‘Services' menu at the bottom of your screen
Didn't find what you were looking for?

### Carry your bank in your pocket!

Download our app for smartphone or tablet Carry your bank in your pocket!

### Didn't find what you were looking for?

Ask Ida, ING's digital assistant, via Chat in your ING Banking app, in the ‘Services' menu at the bottom of your screen
Didn't find what you were looking for?

### Find a branch

Find a branch More services and how to contact us"
https://www.ing.be/en/individuals/daily-banking/joint-account;1;7;7.7169317815293985271.txt;"# Joint accounts - ING Belgium

## What is a joint account?

A joint account is a current account held by two or more people and used to manage shared expenses. It operates in the same way as a standard current account and gives all holders access to the funds in the account. Each holder can withdraw cash, make online payments or check their available balance. In addition, thanks to a reciprocal proxy system, each party can make payments without the need for a joint signature.

## What are the advantages and disadvantages of joint accounts?

While merging bank accounts is a sign of trust and unity, it's important to make sure it's the right decision for you.
Advantages:
* Convenience. Everything is in one place, which helps to control money inflows and outflows. What's more, when you share costs such as rent, service charges or car expenses, it's much easier to do it with one single transaction from the same account.
* Equality. In the case of a couple, a joint account can be a fair way of sharing the funds, even if each person's income is different.
* Transparency. Such a system makes it possible to know exactly what you and the other holder(s) are spending your money on, which makes it easier to balance the accounts.
Disadvantages:
* Lack of control. You have no control over how the other holder(s) spend the money and there is the risk of potential excesses.
* Risk of conflict. With this account, you will know how much the other holder(s) spends and on what, which can sometimes lead to difficult discussions.
While these are general points that will help you decide whether a joint account is right for you, the first thing to do is to discuss it with your partner/roommate and decide what's best for you.

### Manage all your accounts via the app

With the ING Banking app you can monitor each of your accounts and easily manage your income and expenditure on both your personal and joint account."
https://www.ing.be/en/individuals/daily-banking/joint-account;2;8;8.7169317815293985271.txt;"# Joint accounts - ING Belgium

## Pro tip: Try the hybrid approach!

In addition to a joint account, you can of course always keep your personal account(s). Many couples opt for a hybrid approach. Their salary/income is paid into their respective personal accounts. A direct debit is set up to transfer an agreed amount into a joint account each month to cover mutual expenses. Having both a joint bank account and individual bank accounts can help equal out the expenses making spending a little more equal depending on each person's income.
Whatever your decision, the most important thing is to be on the same wavelength with your partner or flatmates from the outset."
https://www.ing.be/en/individuals/daily-banking/joint-account;3;9;9.7169317815293985271.txt;"# Joint accounts - ING Belgium

## How do I open a joint account?

Live in Belgium and have an email address? Then easily open your joint account online:
* Check out our current accounts
* Choose the one that suits your needs and press **Open this account**
* Choose the number of holders
* Fill in the information requested
* Confirm your application"
